class,temper_aver,prec_aver,soil_type,soil_structure,landform,corrosion_degree,Drainage_degree,soil_depth,LV2_CODE,lithoidx,FIFTH_FRTP,DMCLS,AGCLS,slope,dem
0,8.925,107.75,13,3,1,1,1,2,320,12,6,3,5,10.40366,443.16882
0,8.40833,111.75,13,4,1,2,1,3,310,54,9,4,7,18.4942,634.09229
0,11.4,106.33334,7,4,4,1,3,4,130,12,1,1,1,2.39497,96.70638
0,8.20833,111.91666,13,5,1,2,2,3,220,33,14,2,4,10.51692,718.14471
0,9.79167,104.58334,13,1,1,2,1,1,330,58,9,3,6,23.52476,373.8168
0,11.69167,108.25,3,4,4,1,3,4,110,47,1,1,1,2.26818,31.84444
0,11.36667,107.25,8,7,2,2,2,3,210,56,1,1,1,4.4589,59.85654
0,9.80833,106.83334,13,2,1,2,1,2,320,38,15,2,3,25.8756,526.59058
0,11.14167,110.5,8,1,2,2,1,1,110,12,1,1,1,10.39575,102.65543
0,11.01667,105.91666,9,4,3,1,2,2,240,12,9,2,4,11.31339,79.5772
0,11.40833,107.75,7,4,4,1,3,4,330,47,1,1,1,3.02623,52.51878
0,7.55833,111.41666,13,4,1,1,2,2,320,12,4,4,7,11.39017,751.6582
0,11.94167,107.91666,8,5,2,2,2,3,210,12,1,1,1,1.38637,63.39267
0,10.00833,108.83334,13,4,1,2,1,3,320,12,16,3,6,11.09526,279.3237
0,11.43333,107.5,10,8,3,1,3,2,330,47,1,1,1,3.32454,60.22415
0,11.05,107.75,8,7,2,2,2,3,430,12,6,2,4,1.62133,69.34016
0,10.51667,106.66666,7,4,4,1,2,4,320,36,15,3,5,7.77903,230.23856
0,6.88333,113.5,13,4,1,1,1,2,310,68,6,4,7,21.14536,1001.323
0,8.925,109.91666,13,4,1,2,1,3,310,53,9,4,7,18.77421,602.83057
0,11.05833,108.08334,7,1,7,1,2,3,210,47,1,1,1,0.79486,71.60783
0,9.90833,107.33334,999,999,999,999,999,999,620,38,1,1,1,1.49034,340.71613
0,10.68333,110.33334,13,4,1,2,1,2,320,47,6,2,4,5.49173,290.45099
0,10.08333,105.58334,3,10,4,1,4,4,220,47,1,1,1,12.26179,236.04626
0,10.24167,108.25,3,4,4,1,3,4,210,12,1,1,1,1.23149,245.55023
0,10.86667,106.5,7,4,4,1,2,4,410,47,1,1,1,7.56417,129.07089
0,10.83333,106.66666,13,4,1,2,1,2,310,43,6,3,6,7.2456,178.32167
0,8.41667,112.16666,13,1,1,2,1,1,310,47,6,3,6,19.75028,699.78729
0,9.20833,108.83334,13,2,1,2,1,2,320,47,9,3,5,15.47551,428.95386
0,9.79167,106.91666,9,1,3,1,2,2,220,18,6,2,4,10.30774,488.21582
0,10.88333,106.33334,7,4,4,1,2,4,330,34,15,3,5,7.77741,184.57358
0,10.64167,104.41666,10,5,3,1,2,3,220,7,15,2,4,8.28589,303.10812
0,10.55833,104.66666,13,4,1,2,1,2,310,7,9,3,4,11.07448,287.638
0,6.46667,119.41666,13,4,1,2,2,2,310,64,6,3,6,16.78869,1284.13794
0,11.03333,106.5,8,7,2,2,2,3,210,12,1,1,1,4.22637,54.24944
0,10.48333,107.91666,13,4,1,2,1,3,330,20,6,3,6,19.10718,305.73846
0,10.8,105.25,7,4,4,1,2,4,220,12,1,1,1,3.73828,178.01678
0,10.34167,106.58334,13,2,1,1,1,2,330,7,4,3,6,12.36745,337.76617
0,9.525,108.08334,3,4,7,1,3,1,210,40,1,1,1,0.46921,377.18753
0,11.55833,107,8,4,4,1,2,4,120,47,1,1,1,2.38112,32.93785
0,9.91667,107.16666,13,4,1,2,1,3,320,40,4,3,6,11.10042,342.11169
0,12.09167,113.33334,8,4,2,2,2,3,110,12,1,1,1,5.57922,54.42018
0,7.6,112.08334,13,4,1,2,1,2,310,68,6,4,7,25.967,829.73535
0,7.175,111.41666,13,1,1,2,1,1,310,47,6,3,6,14.0166,829.41821
0,9.025,108.75,13,2,1,1,1,2,320,4,9,3,5,21.76728,554.62024
0,10.76667,105.41666,13,5,1,2,2,3,330,37,15,3,5,6.5721,305.91519
0,10.75833,107,13,4,1,2,1,3,430,34,9,3,6,6.82,251.52957
0,9.425,111.5,13,1,1,2,1,1,310,47,6,3,5,23.48651,558.77686
0,9.85833,108,9,1,3,1,2,2,320,53,6,3,6,11.15915,323.54349
